???,Unnamed: 1,dlnC_RAW,dlnY_RAW,dlnC_NOME,dlnY_NOME,POP,RGDPPC_PPP,TO,FO
CAN,2016,-0.689,-1.594,-1.187,-1.626,36235.098,29070.44,0.519,1.0
CHE,1885,8.169,2.908,2.463,1.876,2896.0,4455.422,0.792,
CHE,1886,-16.395,1.902,-5.464,1.29,2907.0,4623.497,0.818,
CHE,1887,14.851,-1.667,3.596,-0.018,2918.0,4560.879,0.832,
CHE,1888,-18.315,-0.489,-7.968,0.232,2929.0,4708.034,0.812,
CHE,1889,0.419,1.194,-0.724,1.07,2940.0,4557.506,0.828,
CHE,1890,-0.514,5.818,0.509,1.897,2951.0,4830.036,0.771,1.0
CHE,1891,4.666,-8.308,4.689,-2.278,2965.0,4558.058,0.751,1.0
CHE,1892,21.394,5.723,10.769,2.478,3002.0,4816.413,0.678,1.0
CHE,1893,-6.256,1.808,-1.386,0.717,3040.0,4863.618,0.644,1.0
CHE,1894,-4.138,-5.277,-0.934,-0.784,3077.0,4750.667,0.633,1.0
CHE,1895,-0.995,7.903,0.057,3.622,3114.0,4944.244,0.636,1.0
CHE,1896,4.294,-0.622,2.237,0.637,3151.0,5203.847,0.636,1.0
CHE,1897,3.103,2.137,1.81,1.296,3188.0,5335.547,0.608,1.0
CHE,1898,1.896,-1.224,1.053,-0.11,3226.0,5501.353,0.613,1.0
CHE,1899,-4.877,2.686,-0.758,0.741,3263.0,5608.257,0.657,1.0
CHE,1900,8.646,-1.697,1.769,-1.228,3300.0,5898.959,0.634,1.0
CHE,1901,-8.757,-3.887,-3.368,-2.086,3341.0,5635.668,0.614,1.0
CHE,1902,-1.136,-0.299,-1.353,-0.986,3384.0,5791.702,0.624,1.0
CHE,1903,-3.012,-4.487,-1.44,-1.874,3428.0,5678.997,0.642,1.0
CHE,1904,2.353,1.9,0.068,0.56,3472.0,6067.478,0.619,1.0
CHE,1905,-2.362,1.227,-0.608,1.081,3461.0,6301.792,0.642,1.0
CHE,1906,5.563,5.92,0.88,2.429,3560.0,6591.671,0.629,1.0
CHE,1907,-5.216,-2.056,-2.236,-0.764,3604.0,6557.288,0.666,1.0
CHE,1908,-4.025,-4.225,-1.442,-1.272,3647.0,6572.756,0.589,1.0
CHE,1909,3.012,2.488,0.287,0.717,3691.0,6664.735,0.589,1.0
CHE,1910,0.181,1.014,-0.477,0.221,3735.0,6884.952,0.611,1.0
CHE,1911,-1.068,-0.259,-0.816,-0.727,3776.0,6926.688,0.613,1.0
CHE,1912,0.696,-1.284,-0.793,-1.623,3819.0,7211.932,0.644,1.0
CHE,1913,-2.074,-4.297,-2.177,-2.701,3864.0,7092.612,0.635,1.0
CHE,1914,-9.113,-4.473,-3.679,-2.612,3897.0,6638.709,0.548,1.0
CHE,1915,3.541,2.09,-0.685,-0.957,3883.0,6623.334,0.641,1.0
CHE,1916,-4.575,-0.8,-2.61,-2.594,3883.0,7058.37,0.738,0.975
CHE,1917,-0.983,-9.235,-1.525,-6.256,3888.0,6820.661,0.597,0.907
CHE,1918,-5.521,-12.543,-2.078,-6.568,3880.0,6217.18,0.456,0.806
CHE,1919,4.503,4.769,1.343,1.271,3869.0,6175.758,0.7,0.694
CHE,1920,4.372,6.888,1.114,2.167,3877.0,6567.966,0.679,0.593
CHE,1921,-7.558,-7.943,-1.026,-2.119,3876.0,5543.014,0.538,0.525
