???;;dlnC_RAW;dlnY_RAW;dlnC_NOME;dlnY_NOME;POP;RGDPPC_PPP;TO ;FO
CAN;1924;2.3102889;-1.8259709;2.4917923;0.70216366;9394;3977.0194;0.410971837;0.593016257
CAN;1925;6.417219;6.8879797;4.5766203;4.233729;9549;4340.2756;0.428764621;0.693518599
CAN;1926;5.9638151;1.6961962;5.765796;2.3978918;9713;4497.0571;0.427477146;0.806481401
CAN;1927;7.4687529;5.6409392;6.3854171;4.0326192;9905;4846.9965;0.416831505;0.906983743
CAN;1928;5.418913;4.6295376;4.2902012;2.0280435;10107;5171.5892;0.427438017;0.974524018
CAN;1929;2.3568962;-3.9266185;0.59276058;-3.3620267;10305;5065.4459;0.40348591;0.974524018
CAN;1930;-7.9601464;-7.0144208;-5.6928353;-7.2265593;10488;4810.6045;0.330594406;0.906983743
CAN;1931;-8.5173356;-20.213136;-7.1780287;-14.51077;10657;4003.6926;0.261666312;0.806481401
CAN;1932;-11.351017;-10.515465;-8.6914225;-10.629891;10794;3671.4527;0.24934452;0.693518599
CAN;1933;-5.5390222;-10.407971;-4.1887295;-7.2182531;10919;3370.4061;0.268041237;0.593016257
CAN;1934;2.2721438;7.2350203;0.051549362;3.4865794;11030;3691.0296;0.294532628;0.525475982
CAN;1935;1.5814026;4.9439114;0.79272907;3.3874791;11136;3950.625;0.299465241;0.5
CAN;1936;1.7112562;2.447368;1.2506495;3.2823513;11243;4124.206;0.342252913;0.5
CAN;1937;3.4308403;6.2756072;1.4808621;4.3776788;11341;4473.4105;0.347452776;0.5
CAN;1938;-4.2337414;-0.24520737;-1.316438;1.4896229;11452;4545.9095;0.289453718;0.5
CAN;1939;-0.00558787;2.9201002;0.54879453;4.0648521;11570;4768.1314;0.300124533;0.5
CAN;1940;4.3306502;10.002361;2.7288688;8.3215816;11688;5368.2454;0.338894682;0.5
CAN;1941;3.7129245;10.115739;2.4702492;9.7375408;11818;6050.7673;0.372977542;0.5
CAN;1942;-0.54089999;13.195554;0.73604089;10.364403;11969;7033.3759;0.392498782;0.5
CAN;1943;-0.085590646;1.3566164;1.2977807;2.615482;12115;7262.7586;0.428480955;0.5
CAN;1944;3.9547745;0.59324154;3.6710915;-0.15419435;12268;7442.5611;0.442437542;0.5
CAN;1945;6.8169505;-6.1017485;5.5297202;-3.9166295;12404;7132.9526;0.406558206;0.5
CAN;1946;7.0459782;-4.7209844;5.5551992;-3.1801625;12634;6931.2433;0.35372318;0.5
CAN;1947;3.0173587;0.38676057;1.9545995;-0.97186628;12901;7088.2105;0.399762488;0.5
CAN;1948;-6.4855103;-2.1759077;-2.8017133;-1.706155;13180;7065.3241;0.368768747;0.5
CAN;1949;1.6818243;-1.8702935;0.61877249;-0.98259491;13469;7064.0805;0.344241655;0.525475982
CAN;1950;0.69939463;1.3159263;-0.16854625;0.56856247;14011.42;7291.4798;0.343414274;0.593016257
CAN;1951;-3.3499443;1.4125997;-1.3423295;0.90842281;14330.67;7533.4902;0.37189982;0.693518599
CAN;1952;1.9483434;2.0466426;1.0429748;0.83638274;14785.58;7833.0352;0.344129042;0.806481401
CAN;1953;2.36734;0.059486591;1.4779655;-0.12292956;15183.38;7984.2591;0.331984012;0.906983743
CAN;1954;-1.1193524;-5.4850615;0.55387376;-1.7478923;15636.25;7699.4189;0.310825525;0.974524018
CAN;1955;3.9174356;4.4616593;2.4190009;1.8556108;16050.36;8201.2511;0.317398701;1
CAN;1956;3.112168;3.4970867;1.870559;1.4949918;16445.09;8651.9457;0.330457662;1
CAN;1957;-1.5000552;-2.3763595;-0.30302405;-1.1847956;17010.15;8606.7416;0.314839411;1
CAN;1958;-0.87961108;-2.7011755;-0.089208763;-1.4305004;17462;8534.0148;0.291205974;1
CAN;1959;1.3654017;-0.19982736;0.30415844;-0.55027427;17872.03;8676.2369;0.29276326;1
CAN;1960;-0.52550083;-0.97732933;-0.48997989;-0.73041848;18266.77;8752.5076;0.287761204;1
CAN;1961;-2.7196409;-0.93983246;-1.1955213;-0.17362727;18634.98;8832.745;0.294565516;1
CAN;1962;1.33475;3.0537867;0.61240235;1.859356;18985.85;9276.9093;0.293094503;1
CAN;1963;0.38294815;1.2200797;0.44794526;1.4370419;19342.84;9566.3817;0.292824858;1
CAN;1964;1.481703;2.5739021;1.204003;2.1721127;19711.05;9999.3643;0.312174713;1
CAN;1965;2.0137836;2.7747114;1.464753;2.5407347;20071.1;10472.917;0.313144778;0.993631004
CAN;1966;1.181704;2.5668885;1.2755622;1.9810962;20448.5;10946.135;0.328374618;0.976745936
CAN;1967;-0.001952106;-0.65283495;0.42509664;0.51210081;20819.77;11078.27;0.332496485;0.95162035
CAN;1968;0.91265957;1.701558;0.73538873;1.552398;21143.1;11479.064;0.354724803;0.92337965
CAN;1969;1.3658324;1.8525039;0.85502504;1.3180631;21448.07;11912.352;0.358838807;0.898254064
CAN;1970;-1.3588354;-0.69962429;0.038861623;0.33750544;21749.99;12050.491;0.354647468;0.875
CAN;1971;2.2261074;2.304038;1.8767515;1.8507348;22026.4;12561.926;0.352407532;0.851745936
CAN;1972;3.7257954;2.13137;3.0258078;2.0130561;22284.5;13072.494;0.365617261;0.82662035
CAN;1973;3.5477937;3.8374769;2.8343894;2.6789282;22559.5;13837.895;0.391332315;0.79837965
CAN;1974;1.7313062;0.76359284;2.0670721;1.039102;22874.7;14204.689;0.431169321;0.773254064
CAN;1975;0.52464486;-1.0702071;1.0494251;0.299659;23209.2;14316.263;0.405611821;0.756368996
CAN;1976;1.924443;2.160092;1.2399232;1.1908628;23517.5;14902.392;0.393181095;0.75
CAN;1977;-0.22424984;0.27394521;0.027973486;0.37292768;23796.4;15222.681;0.407158748;0.75
CAN;1978;0.15135875;1.1086711;-0.029942124;0.87351041;24036.3;15680.2;0.436646398;0.75
CAN;1979;-0.52562258;1.2241933;-0.819708;0.37290489;24276.9;16170.145;0.475807452;0.75
CAN;1980;-1.4013675;-1.8182028;-1.3163179;-1.1792397;24593.3;16175.706;0.478901141;0.75
CAN;1981;-1.8527641;-0.034661498;-2.0696095;-1.1185309;24900;16472.45;0.468919746;0.75
CAN;1982;-5.6118353;-6.1508646;-2.9346407;-2.8044256;25201.9;15779.406;0.415424881;0.756368996
CAN;1983;-0.20367744;0.012252863;-0.63872745;-0.21694643;25456.3;16076.413;0.419210109;0.773254064
CAN;1984;1.4131034;2.7629669;0.64218241;1.2869546;25701.8;16835.825;0.478897932;0.79837965
CAN;1985;2.1421672;2.4845391;1.2815132;1.4643724;25941.6;17582.069;0.477083654;0.832989346
CAN;1986;0.87712881;-0.27239103;0.85158838;0.49916765;26203.8;17862.104;0.470955806;0.875
CAN;1987;1.0007515;0.83223443;0.80391663;0.65389823;26549.7;18348.155;0.446936268;0.917010654
CAN;1988;1.1587922;1.6019392;0.46181624;0.2673662;26894.8;18993.077;0.455809517;0.95162035
CAN;1989;-0.18843414;-1.2466719;-0.52710216;-1.3115671;27379.3;19108.487;0.429743374;0.976745936
CAN;1990;-2.1561238;-3.0958662;-1.8586923;-2.5195756;27790.6;18872.389;0.425404216;0.993631004
CAN;1991;-4.5941648;-5.1776604;-2.7471718;-3.3926392;28117.6;18262.464;0.415959595;1
CAN;1992;-1.7122647;-2.4154561;-1.7787645;-2.0997595;28545;18146.725;0.449735681;1
CAN;1993;-1.4152899;-0.91737724;-1.3868641;-0.98252475;28953;18309.108;0.498353237;1
CAN;1994;0.029510844;1.6705459;-0.46479477;0.38113274;29331;18941.768;0.561096369;1
CAN;1995;-0.97135341;-0.31855093;-0.86231776;-0.50754943;29691;19237.798;0.602983861;1
CAN;1996;-0.46383061;-1.4773043;-0.059150096;-0.49357968;30026;19330.597;0.606498508;1
CAN;1997;1.6752054;1.2341405;0.58022945;0.821858;30305.84;19961.823;0.643852103;1
